PKG	VERSION	ARCH	SIZE_BYTES	SIZE_HUMAN	MANUAL	DEPENDS	RDEPS_COUNT
libmount1	2.37.2-4ubuntu3.4	amd64	391168	382.00 KB	0	libblkid1 (>= 2.17.2), libc6 (>= 2.34), libselinux1 (>= 3.1~)	9
libmpc3	1.2.1-2build1	amd64	128000	125.00 KB	0	libc6 (>= 2.4), libgmp10 (>= 2:6.2.1+dfsg), libmpfr6 (>= 4.0.0)	9
libmpdec3	2.5.1-2build2	amd64	256000	250.00 KB	0	libc6 (>= 2.32), libgcc-s1 (>= 3.3.1), libstdc++6 (>= 5.2)	1
libmpfr6	4.1.0-3build3	amd64	3486720	3.33 MB	0	libc6 (>= 2.14), libgmp10 (>= 2:6.2.1+dfsg)	11
libmsgpackc2	3.3.0-4	amd64	55296	54.00 KB	0	libc6 (>= 2.14)	1
libmspack0	0.10.1-2build2	amd64	98304	96.00 KB	0	libc6 (>= 2.14)	1
libncurses-dev	6.3-2ubuntu0.1	amd64	2407424	2.30 MB	0	libtinfo6 (= 6.3-2ubuntu0.1), libncurses6 (= 6.3-2ubuntu0.1), libncursesw6 (= 6.3-2ubuntu0.1), libc6-dev | libc-dev, ncurses-bin (>= 6.0+20151017)	1
libncurses6	6.3-2ubuntu0.1	amd64	336896	329.00 KB	0	libtinfo6 (= 6.3-2ubuntu0.1), libc6 (>= 2.34)	3
libncursesw6	6.3-2ubuntu0.1	amd64	432128	422.00 KB	0	libtinfo6 (= 6.3-2ubuntu0.1), libc6 (>= 2.34)	11
libnet-dbus-perl	1.2.0-1build3	amd64	636928	622.00 KB	0	perl, perlapi-5.34.0, libc6 (>= 2.34), libdbus-1-3 (>= 1.9.14), libxml-twig-perl	1
libnet-http-perl	6.22-1	all	62464	61.00 KB	0	perl:any, libio-socket-ip-perl, liburi-perl	2
libnet-smtp-ssl-perl	1.04-1	all	19456	19.00 KB	0	libio-socket-ssl-perl, perl	1
libnet-ssleay-perl	1.92-1build2	amd64	1377280	1.31 MB	0	perl, perl-openssl-abi-3, perlapi-5.34.0, libc6 (>= 2.34), libssl3 (>= 3.0.0~~alpha1)	2
libnetfilter-conntrack3	1.0.9-1	amd64	144384	141.00 KB	0	libc6 (>= 2.14), libmnl0 (>= 1.0.3-4~), libnfnetlink0	1
libnetplan0	0.106.1-7ubuntu0.22.04.4	amd64	335872	328.00 KB	0	libc6 (>= 2.33), libglib2.0-0 (>= 2.70.0), libuuid1 (>= 2.16), libyaml-0-2	1
libnettle8	3.7.3-1build2	amd64	364544	356.00 KB	0	libc6 (>= 2.17)	5
libnewt0.52	0.52.21-5ubuntu2	amd64	204800	200.00 KB	0	libc6 (>= 2.34), libslang2 (>= 2.2.4)	2
libnfnetlink0	1.0.1-3build3	amd64	49152	48.00 KB	0	libc6 (>= 2.14)	2
libnftables1	1.0.2-1ubuntu3	amd64	934912	913.00 KB	0	libc6 (>= 2.33), libgmp10 (>= 2:6.2.1+dfsg), libjansson4 (>= 2.3), libmnl0 (>= 1.0.3-4~), libnftnl11 (>= 1.2.1), libxtables12 (>= 1.6.0+snapshot20161117)	1
libnftnl11	1.2.1-1build1	amd64	232448	227.00 KB	0	libc6 (>= 2.14), libmnl0 (>= 1.0.3-4~)	2
libnghttp2-14	1.43.0-1ubuntu0.2	amd64	208896	204.00 KB	0	libc6 (>= 2.17)	4
libnl-3-200	3.5.0-0.1	amd64	184320	180.00 KB	0	libc6 (>= 2.34)	2
libnl-genl-3-200	3.5.0-0.1	amd64	62464	61.00 KB	0	libnl-3-200 (= 3.5.0-0.1), libc6 (>= 2.4)	1
libnode-dev	12.22.9~dfsg-1ubuntu3.6	amd64	6146048	5.86 MB	0	libssl-dev, libuv1-dev (>= 1.33.0~), libnode72 (= 12.22.9~dfsg-1ubuntu3.6)	1
libnode72	12.22.9~dfsg-1ubuntu3.6	amd64	41206784	39.30 MB	0	libbrotli1 (>= 1.0.0), libc-ares2 (>= 1.11.0~rc1), libc6 (>= 2.34), libgcc-s1 (>= 3.4), libicu70 (>= 70.1-1~), libnghttp2-14 (>= 1.41.0), libstdc++6 (>= 11), libuv1 (>= 1.39.0), zlib1g (>= 1:1.1.4)	2
libnotify-bin	0.7.9-3ubuntu5.22.04.1	amd64	39936	39.00 KB	0	libc6 (>= 2.34), libglib2.0-0 (>= 2.26), libnotify4 (>= 0.7.3)	1
libnotify4	0.7.9-3ubuntu5.22.04.1	amd64	67584	66.00 KB	0	libc6 (>= 2.7), libgdk-pixbuf-2.0-0 (>= 2.22.0), libglib2.0-0 (>= 2.37.3)	1
libnpth0	1.6-3build2	amd64	40960	40.00 KB	0	libc6 (>= 2.34)	2
libnsl-dev	1.3.0-2build2	amd64	355328	347.00 KB	0	libnsl2 (= 1.3.0-2build2), libtirpc-dev	1
libnsl2	1.3.0-2build2	amd64	125952	123.00 KB	0	libc6 (>= 2.33), libtirpc3 (>= 1.0.2)	6
libnspr4	2:4.35-0ubuntu0.22.04.1	amd64	321536	314.00 KB	0	libc6 (>= 2.34)	2
libnss-mdns	0.15.1-1ubuntu1	amd64	151552	148.00 KB	0	base-files (>= 3.1.10), libc6 (>= 2.34)	0
libnss-nis	3.1-0ubuntu6	amd64	86016	84.00 KB	0	libc6 (>= 2.14), libnsl2 (>= 1.0)	1
